香港 Smart,#genre#
翡翠台,http://IP:Port/Smart.php?id=jade_twn
翡翠台,http://IP:Port/Smart.php?id=Jade_xue
无线新闻台,http://IP:Port/Smart.php?id=inews_twn
J 2,http://IP:Port/Smart.php?id=j2_twn
珍珠台,http://IP:Port/Smart.php?id=pearl_twn
凤凰香港,http://IP:Port/Smart.php?id=hkphoenix_twn
凤凰卫视,http://IP:Port/smart.php?id=phoenixtv_hd
凤凰资讯,http://IP:Port/Smart.php?id=phoenixinfo_hd
HOY资讯台,http://IP:Port/Smart.php?id=hoycaijing_twn
RHK 31,http://IP:Port/Smart.php?id=rhk31_twn
RHK 32,http://IP:Port/Smart.php?id=rhk32_twn
VIUTV1,http://IP:Port/Smart.php?id=viu1_twn
Viu6,http://IP:Port/Smart.php?id=viusix_twn
CCTV Smart,#genre#
CCTV1,http://IP:Port/Smart.php?id=cctv1
CCTV2,http://IP:Port/Smart.php?id=cctv2
CCTV3,http://IP:Port/Smart.php?id=cctv3
CCTV4,http://IP:Port/Smart.php?id=cctv4
CCTV4,http://IP:Port/Smart.php?id=Cctv4
CCTV5,http://IP:Port/Smart.php?id=cctv5
CCTV5+,http://IP:Port/Smart.php?id=cctv5plus
CCTV6,http://IP:Port/Smart.php?id=cctv6
CCTV7,http://IP:Port/Smart.php?id=cctv7
CCTV8,http://IP:Port/Smart.php?id=cctv8hd
CCTV9,http://IP:Port/Smart.php?id=cctv9hd
CCTV10,http://IP:Port/Smart.php?id=cctv10hd
CCTV11,http://IP:Port/Smart.php?id=cctv11
CCTV12,http://IP:Port/Smart.php?id=cctv12
CCTV13,http://IP:Port/Smart.php?id=cctv13
CCTV14,http://IP:Port/Smart.php?id=cctv14
CCTV15,http://IP:Port/Smart.php?id=cctv15
卫视频道 Smart,#genre#
湖南卫视,http://IP:Port/Smart.php?id=hunan_twn
浙江卫视,http://IP:Port/Smart.php?id=zhejiang_twn
江苏卫视,http://IP:Port/Smart.php?id=jiangsu_twn
深圳卫视,http://IP:Port/Smart.php?id=shenzhen
福建东南卫视,http://IP:Port/Smart.php?id=fujian
广东南方卫视,http://IP:Port/Smart.php?id=nanfang_twn
广东卫视,http://IP:Port/Smart.php?id=guangdongweishi_twn
北京卫视,http://IP:Port/Smart.php?id=beijing
珠江台,http://IP:Port/Smart.php?id=zhujiang
广西卫视,http://IP:Port/Smart.php?id=guangxi
湖北卫视,http://IP:Port/Smart.php?id=hubei
四川卫视,http://IP:Port/Smart.php?id=sichuan_twn
东方卫视,http://IP:Port/Smart.php?id=dongfangweishi_twn
CGTN,http://IP:Port/Smart.php?id=CGTN
体育频道 Smart,#genre#
Astro Premier League 1,http://IP:Port/Smart.php?id=go_assp1
Astro Premier League 2,http://IP:Port/Smart.php?id=go_assp2
Astro EPL 1,http://IP:Port/Smart.php?id=go_assp1x
Astro Grandstand,http://IP:Port/Smart.php?id=go_assp3
Astro Football,http://IP:Port/Smart.php?id=go_assp4
Astro Sports Plus,http://IP:Port/Smart.php?id=go_sportsplus
